date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
21 February 2022 - 02:53 AM,5.86,126.67,74,4.2,Governor Generoso ,Davao Oriental,2022-02-21T02:53:00,2022-02-21,02:53:00,2022-02-21
21 February 2022 - 02:45 AM,5.76,126.66,43,3.7,Jose Abad Santos ,Davao Occidental,2022-02-21T02:45:00,2022-02-21,02:45:00,2022-02-21
20 February 2022 - 08:48 PM,10.42,126.72,21,4.6,Burgos ,Surigao Del Norte,2022-02-20T08:48:00,2022-02-20,08:48:00,2022-02-20
24 May 2022 - 11:07 PM,10.2,126.64,10,3.5,Burgos ,Surigao Del Norte,2022-05-24T11:07:00,2022-05-24,11:07:00,2022-05-24
31 August 2022 - 08:25 PM,3.69,125.53,130,3.9,Balut Island ,Municipality Of Sarangani ,2022-08-31T08:25:00,2022-08-31,08:25:00,2022-08-31
29 June 2022 - 05:23 AM,7.19,123.53,14,4.9,Tabina ,Zamboanga Del Sur,2022-06-29T05:23:00,2022-06-29,05:23:00,2022-06-29
28 June 2022 - 11:01 PM,21.81,120.27,59,3.5,Itbayat ,Batanes,2022-06-28T11:01:00,2022-06-28,11:01:00,2022-06-28
19 February 2022 - 11:43 PM,19.15,121.2,14,4.0,Dalupiri Island ,Calayan ,2022-02-19T11:43:00,2022-02-19,11:43:00,2022-02-19
19 February 2022 - 08:16 PM,18.73,120.92,62,4.1,Pagudpud ,Ilocos Norte,2022-02-19T08:16:00,2022-02-19,08:16:00,2022-02-19
24 May 2022 - 10:09 PM,10.33,126.72,16,3.7,Burgos ,Surigao Del Norte,2022-05-24T10:09:00,2022-05-24,10:09:00,2022-05-24
30 July 2022 - 05:36 PM,17.48,120.66,8,3.5,San Isidro ,Abra,2022-07-30T05:36:00,2022-07-30,05:36:00,2022-07-30
30 July 2022 - 05:00 PM,11.27,124.59,7,4.3,Capoocan ,Leyte,2022-07-30T05:00:00,2022-07-30,05:00:00,2022-07-30
30 July 2022 - 04:39 PM,17.51,120.66,6,3.5,Tayum ,Abra,2022-07-30T04:39:00,2022-07-30,04:39:00,2022-07-30
28 June 2022 - 09:34 PM,21.79,120.18,1,4.8,Itbayat ,Batanes,2022-06-28T09:34:00,2022-06-28,09:34:00,2022-06-28
19 February 2022 - 02:32 PM,5.09,126.0,95,3.5,Sarangani Island ,Municipality Of Sarangani ,2022-02-19T02:32:00,2022-02-19,02:32:00,2022-02-19
19 February 2022 - 06:21 AM,4.81,126.18,72,3.5,Balut Island ,Municipality Of Sarangani ,2022-02-19T06:21:00,2022-02-19,06:21:00,2022-02-19
24 May 2022 - 10:58 AM,4.53,126.83,58,4.1,Sarangani Island ,Municipality Of Sarangani ,2022-05-24T10:58:00,2022-05-24,10:58:00,2022-05-24
24 May 2022 - 10:16 AM,13.72,120.49,106,3.5,Calatagan ,Batangas,2022-05-24T10:16:00,2022-05-24,10:16:00,2022-05-24
31 August 2022 - 04:41 AM,4.15,126.34,129,4.4,Balut Island ,Municipality Of Sarangani ,2022-08-31T04:41:00,2022-08-31,04:41:00,2022-08-31
20 January 2022 - 01:14 AM,13.15,119.45,32,3.7,Looc ,Occidental Mindoro,2022-01-20T01:14:00,2022-01-20,01:14:00,2022-01-20
31 March 2022 - 11:57 PM,2.56,126.06,35,4.4,Balut Island ,Municipality Of Sarangani ,2022-03-31T11:57:00,2022-03-31,11:57:00,2022-03-31
