date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
31 March 2021 - 04:57 AM,10.29,126.31,33,2.0,Burgos ,Surigao Del Norte,2021-03-31T04:57:00,2021-03-31,04:57:00,2021-03-31
31 March 2021 - 03:17 AM,10.25,122.55,32,1.5,Nueva Valencia ,Guimaras,2021-03-31T03:17:00,2021-03-31,03:17:00,2021-03-31
31 March 2021 - 01:05 AM,12.95,120.93,16,2.0,Sablayan ,Occidental Mindoro,2021-03-31T01:05:00,2021-03-31,01:05:00,2021-03-31
28 January 2021 - 06:27 PM,13.43,121.22,35,1.6,City Of Calapan ,Oriental Mindoro,2021-01-28T06:27:00,2021-01-28,06:27:00,2021-01-28
28 January 2021 - 04:39 PM,15.76,120.66,27,2.0,San Manuel ,Tarlac,2021-01-28T04:39:00,2021-01-28,04:39:00,2021-01-28
28 January 2021 - 04:24 PM,14.18,121.22,13,2.0,Los Baños ,Laguna,2021-01-28T04:24:00,2021-01-28,04:24:00,2021-01-28
28 January 2021 - 04:11 PM,15.69,121.76,1,2.0,Baler ,Aurora,2021-01-28T04:11:00,2021-01-28,04:11:00,2021-01-28
28 February 2021 - 03:16 AM,8.57,126.45,32,1.9,Hinatuan ,Surigao Del Sur,2021-02-28T03:16:00,2021-02-28,03:16:00,2021-02-28
27 February 2021 - 11:50 PM,9.76,126.03,33,1.8,Dapa ,Surigao Del Norte,2021-02-27T11:50:00,2021-02-27,11:50:00,2021-02-27
27 February 2021 - 11:37 PM,17.42,120.5,33,1.9,Pilar ,Abra,2021-02-27T11:37:00,2021-02-27,11:37:00,2021-02-27
27 February 2021 - 11:12 PM,5.87,125.29,18,1.8,Glan ,Sarangani,2021-02-27T11:12:00,2021-02-27,11:12:00,2021-02-27
27 February 2021 - 10:53 PM,7.0,125.08,34,1.9,Makilala ,Cotabato,2021-02-27T10:53:00,2021-02-27,10:53:00,2021-02-27
27 February 2021 - 08:56 PM,9.75,126.19,32,2.0,General Luna ,Surigao Del Norte,2021-02-27T08:56:00,2021-02-27,08:56:00,2021-02-27
27 February 2021 - 08:27 PM,8.25,126.51,27,2.0,Lingig ,Surigao Del Sur,2021-02-27T08:27:00,2021-02-27,08:27:00,2021-02-27
